web-scraper-order,web-scraper-start-url,category,category-href,page,page-href,name,price,link,link-href,instock
"1597508850-1787","https://mdcomputers.in","Storage","https://mdcomputers.in/storage","4","https://mdcomputers.in/storage?page=4","Seagate Backup Plus Slim 2TB Gold External Hard Drive (STHN2000404)","₹5,825","Seagate Backup Plus Slim 2TB Gold External Hard Drive (STHN2000404)","https://mdcomputers.in/seagate-backup-plus-slim-2tb-gold-sthn2000404.html","null"
"1597509012-4025","https://mdcomputers.in","Processor","https://mdcomputers.in/processor","","","AMD RYZEN 5 3600X (6 CORES 12 THREADS WITH MAX BOOST CLOCK OF 4.4GHz,BASE CLOCK OF 3.8GHz AND 35MB GAME CACHE)","₹20,999","AMD RYZEN 5 3600X (6 CORES 12 THREADS WITH MAX BOOST CLOCK OF 4.4GHz,BASE CLOCK OF 3.8GHz AND 35MB GAME CACHE)","https://mdcomputers.in/amd-hexa-core-ryzen-5-3600x.html","null"
"1597508906-1948","https://mdcomputers.in","Memory (Ram)","https://mdcomputers.in/memory","2","https://mdcomputers.in/memory?page=2","Corsair CMT16GX4M2C3000C15 Desktop Ram Dominator Platinum Series 16GB (8GBx2) DDR4 3000MHz RGB","₹11,600","Corsair CMT16GX4M2C3000C15 Desktop Ram Dominator Platinum Series 16GB (8GBx2) DDR4 3000MHz RGB","https://mdcomputers.in/corsair-dominator-platinum-16gb-ddr4-3000mhz-rgb-cmt16gx4m2c3000c15.html","null"
"1597508636-1279","https://mdcomputers.in","Monitors","https://mdcomputers.in/monitors","3","https://mdcomputers.in/monitors?page=3","LG 22MP68VQ-P - 22 Inch Gaming Monitor (AMD FreeSync, 5ms Response Time, FHD IPS Panel, DVI, HDMI,  D-sub)","₹8,800","LG 22MP68VQ-P - 22 Inch Gaming Monitor (AMD FreeSync, 5ms Response Time, FHD IPS Panel, DVI, HDMI,  D-sub)","https://mdcomputers.in/lg-22-inch-amd-freesync-gaming-22mp68vq-p.html","null"
"1597508882-1871","https://mdcomputers.in","Memory (Ram)","https://mdcomputers.in/memory","5","https://mdcomputers.in/memory?page=5","Thermaltake R009D408GX2-4400C19A Desktop Ram TOUGHRAM RGB Series 16GB (8GBx2) DDR4 4400MHz (Black)","₹15,600","Thermaltake R009D408GX2-4400C19A Desktop Ram TOUGHRAM RGB Series 16GB (8GBx2) DDR4 4400MHz (Black)","https://mdcomputers.in/thermaltake-toughram-rgb-16gb-ddr4-4400mhz-black-r009d408gx2-4400c19a.html","Out Of Stock"
"1597508874-1849","https://mdcomputers.in","Memory (Ram)","https://mdcomputers.in/memory","","","Adata AX4U320038G16-DB41 Desktop Ram XPG Spectrix D41 x TUF Gaming Series 16GB (8GBX2) DDR4 3200MHz RGB","₹9,000","Adata AX4U320038G16-DB41 Desktop Ram XPG Spectrix D41 x TUF Gaming Series 16GB (8GBX2) DDR4 3200MHz RGB","https://mdcomputers.in/adata-xpg-spectrix-d41-x-tuf-gaming-ddr4-3200mhz-rgb-ax4u320038g16-db41.html","null"
"1597508690-1467","https://mdcomputers.in","Cabinet (Case)","https://mdcomputers.in/cabinet","4","https://mdcomputers.in/cabinet?page=4","Phanteks Eclipse P360X DRGB (E-ATX) Mid Tower Cabinet - With Tempered Glass Side Panel And Digital RGB Controller (Black)","₹7,107","Phanteks Eclipse P360X DRGB (E-ATX) Mid Tower Cabinet - With Tempered Glass Side Panel And Digital RGB Controller (Black)","https://mdcomputers.in/phanteks-eclipse-p360x-drgb-mid-tower-tempered-glass-black-ph-ec360ptg-dbk01.html","null"
"1597508636-1285","https://mdcomputers.in","Monitors","https://mdcomputers.in/monitors","3","https://mdcomputers.in/monitors?page=3","MSI Optix G27C4 - 27 Inch 115% sRGB Curved Gaming Monitor (1500R Curved, AMD FreeSync, 1ms Response Time, 165Hz Refresh Rate, Frameless, FHD VA Panel, HDMI, Displayport)","₹26,100","MSI Optix G27C4 - 27 Inch 115% sRGB Curved Gaming Monitor (1500R Curved, AMD FreeSync, 1ms Response Time, 165Hz Refresh Rate, Frameless, FHD VA Panel, HDMI, Displayport)","https://mdcomputers.in/msi-27-inch-optix-g27c4-amd-freesync-curved-gaming.html","Out Of Stock"
"1597508890-1885","https://mdcomputers.in","Memory (Ram)","https://mdcomputers.in/memory","4","https://mdcomputers.in/memory?page=4","G.SKILL F4-3200C16D-64GTZN Desktop Ram Trident Z Neo Series 64GB (32GBx2) DDR4 3200MHz RGB","₹33,800","G.SKILL F4-3200C16D-64GTZN Desktop Ram Trident Z Neo Series 64GB (32GBx2) DDR4 3200MHz RGB","https://mdcomputers.in/g-skill-ram-trident-z-neo-64gb-ddr4-3200mhz-rgb-f4-3200c16d-64gtzn.html","null"
"1597509028-4059","https://mdcomputers.in","Corsair Hydro X","https://mdcomputers.in/corsair_hydro_x.html","","","CORSAIR Hydro X Series XF 45° Rotary Adapters Twin Pack (Black)","₹2,326","CORSAIR Hydro X Series XF 45° Rotary Adapters Twin Pack (Black)","https://mdcomputers.in/corsair-xf-45-rotary-black-cx-9055002-ww.html","null"
