web-scraper-order,web-scraper-start-url,category,category-href,page,page-href,name,price,link,link-href,instock
"1597508867-1833","https://mdcomputers.in","Storage","https://mdcomputers.in/storage","2","https://mdcomputers.in/storage?page=2","Crucial MX500 Series 500GB Internal SSD (CT500MX500SSD1)","₹6,107","Crucial MX500 Series 500GB Internal SSD (CT500MX500SSD1)","https://mdcomputers.in/crucial-mx500-ct500mx500ssd1.html","null"
"1597508867-1835","https://mdcomputers.in","Storage","https://mdcomputers.in/storage","2","https://mdcomputers.in/storage?page=2","Crucial P1 500GB 3D NAND M.2 NVMe Internal SSD (CT500P1SSD8)","₹6,600","Crucial P1 500GB 3D NAND M.2 NVMe Internal SSD (CT500P1SSD8)","https://mdcomputers.in/crucial-p1-3d-nand-500gb-m-2-nvme-ct500p1ssd8.html","null"
"1597508824-1711","https://mdcomputers.in","Storage","https://mdcomputers.in/storage","","","Adata XPG Gammix S11 Pro 512GB 3D NAND M.2 NVMe Internal SSD (AGAMMIXS11P-512GT-C)","₹7,400","Adata XPG Gammix S11 Pro 512GB 3D NAND M.2 NVMe Internal SSD (AGAMMIXS11P-512GT-C)","https://mdcomputers.in/adata-xpg-gammix-s11-pro-512gb-m-2-agammixs11p-512gt-c.html","null"
"1597508713-1528","https://mdcomputers.in","Cabinet (Case)","https://mdcomputers.in/cabinet","2","https://mdcomputers.in/cabinet?page=2","CORSAIR Carbide Series 678C Low Noise Tempered Glass ATX Case, Black (CC-9011167-WW)","₹24,299","CORSAIR Carbide Series 678C Low Noise Tempered Glass ATX Case, Black (CC-9011167-WW)","https://mdcomputers.in/corsair-678c-cc-9011167-ww.html","null"
"1597508874-1844","https://mdcomputers.in","Memory (Ram)","https://mdcomputers.in/memory","","","Adata AX4U300038G16A-SR30 Desktop Ram XPG Gammix D30 Series 8GB (8GBX1) DDR4 3000MHz Red","₹3,746","Adata AX4U300038G16A-SR30 Desktop Ram XPG Gammix D30 Series 8GB (8GBX1) DDR4 3000MHz Red","https://mdcomputers.in/adata-xpg-gammix-d30-8gb-ddr4-3000mhz-ax4u300038g16a-sr30.html","null"
"1597508636-1291","https://mdcomputers.in","Monitors","https://mdcomputers.in/monitors","3","https://mdcomputers.in/monitors?page=3","Samsung LS22R350FHWXXL - 22 Inch Gaming Monitor (AMD FreeSync, 5ms Response Time, Frameless, FHD IPS Panel, HDMI, D-Sub)","₹8,399","Samsung LS22R350FHWXXL - 22 Inch Gaming Monitor (AMD FreeSync, 5ms Response Time, Frameless, FHD IPS Panel, HDMI, D-Sub)","https://mdcomputers.in/samsung-22-inch-ls22r350fhwxxl.html","null"
"1597508645-1347","https://mdcomputers.in","Monitors","https://mdcomputers.in/monitors","2","https://mdcomputers.in/monitors?page=2","BenQ ZOWIE XL2546S - 25 Inch e-Sports Gaming Monitor (240Hz Refresh Rate, FHD TN Panel, DVI-DL, HDMI, DisplayPort, Speaker)","₹37,999","BenQ ZOWIE XL2546S - 25 Inch e-Sports Gaming Monitor (240Hz Refresh Rate, FHD TN Panel, DVI-DL, HDMI, DisplayPort, Speaker)","https://mdcomputers.in/benq-zowie-gaming-monitor-xl2546s.html","null"
"1597508940-2004","https://mdcomputers.in","Motherboard","https://mdcomputers.in/motherboards","4","https://mdcomputers.in/motherboards?page=4","Gigabyte Z490 AORUS ELITE AC (Wi-Fi) Motherboard (Intel Socket 1200/10th Generation Core Series CPU/Max 128GB DDR4 5000MHz Memory)","₹23,039","Gigabyte Z490 AORUS ELITE AC (Wi-Fi) Motherboard (Intel Socket 1200/10th Generation Core Series CPU/Max 128GB DDR4 5000MHz Memory)","https://mdcomputers.in/gigabyte-z490-aorus-elite-ac.html","null"
"1597508805-1683","https://mdcomputers.in","Graphic Cards","https://mdcomputers.in/graphics-card","2","https://mdcomputers.in/graphics-card?page=2","Gigabyte GeForce RTX 2060 Super Windforce OC 8GB GDDR6 256-bit Gaming Graphics Card","₹34,078","Gigabyte GeForce RTX 2060 Super Windforce OC 8GB GDDR6 256-bit Gaming Graphics Card","https://mdcomputers.in/gigabyte-rtx-2060-super-windforce-oc-8gb-gddr6-gv-n206swf2oc-8gd.html","null"
"1597508906-1959","https://mdcomputers.in","Memory (Ram)","https://mdcomputers.in/memory","2","https://mdcomputers.in/memory?page=2","G.Skill F3-1600C9S-4GRSL Laptop Ram Ripjaws Series 4GB (4GBx1) DDR3L 1600MHz","₹1,950","G.Skill F3-1600C9S-4GRSL Laptop Ram Ripjaws Series 4GB (4GBx1) DDR3L 1600MHz","https://mdcomputers.in/g-skill-ripjaws-4gb-ddr3l-1600mhz-f3-1600c9s-4grsl.html","null"
"1597508850-1788","https://mdcomputers.in","Storage","https://mdcomputers.in/storage","4","https://mdcomputers.in/storage?page=4","Seagate Backup Plus Ultra Touch 2TB White External Hard Drive (STHH2000301)","₹6,050","Seagate Backup Plus Ultra Touch 2TB White External Hard Drive (STHH2000301)","https://mdcomputers.in/seagate-external-hard-drive-backup-plus-ultra-touch-2tb-white-sthh2000301.html","null"
"1597508965-2074","https://mdcomputers.in","Motherboard","https://mdcomputers.in/motherboards","2","https://mdcomputers.in/motherboards?page=2","ASUS TUF GAMING H470-PRO Motherboard (Intel Socket 1200/10th Generation Core Series CPU/Max 128GB DDR4 2933MHz Memory)","₹14,500","ASUS TUF GAMING H470-PRO Motherboard (Intel Socket 1200/10th Generation Core Series CPU/Max 128GB DDR4 2933MHz Memory)","https://mdcomputers.in/asus-tuf-gaming-h470-pro.html","null"
"1597508834-1735","https://mdcomputers.in","Storage","https://mdcomputers.in/storage","6","https://mdcomputers.in/storage?page=6","Western Digital My Passport 2TB Red External Hard Drive (WDBYVG0020BRD-WESN)","₹5,994","Western Digital My Passport 2TB Red External Hard Drive (WDBYVG0020BRD-WESN)","https://mdcomputers.in/western-digital-my-passport-2tb-red-wdbyvg0020brd-wesn.html","null"
"1597508754-1599","https://mdcomputers.in","Power Supply","https://mdcomputers.in/smps","2","https://mdcomputers.in/smps?page=2","Deepcool DN550 SMPS 550 Watt PSU With Active PFC","₹3,394","Deepcool DN550 SMPS 550 Watt PSU With Active PFC","https://mdcomputers.in/deepcool-550-watt-dn550-html","null"
"1597508890-1889","https://mdcomputers.in","Memory (Ram)","https://mdcomputers.in/memory","4","https://mdcomputers.in/memory?page=4","G.Skill F4-3200C16S-8GTZR Desktop Ram Trident Z RGB Series 8GB (8GBx1) DDR4 DRAM 3200MHz","₹5,400","G.Skill F4-3200C16S-8GTZR Desktop Ram Trident Z RGB Series 8GB (8GBx1) DDR4 DRAM 3200MHz","https://mdcomputers.in/g-skill-trident-z-rgb-8gb-ddr4-3200mhz-f4-3200c16s-8gtzr.html","null"
"1597508720-1549","https://mdcomputers.in","Power Supply","https://mdcomputers.in/smps","","","Cooler Master MWE 450 SMPS - 450 Watt 80 Plus White Certification PSU With Active PFC","₹2,650","Cooler Master MWE 450 SMPS - 450 Watt 80 Plus White Certification PSU With Active PFC","https://mdcomputers.in/cooler-master-mwe-450-watt-80-plus-white-mwe-4501-acabw-in.html","null"
"1597508897-1920","https://mdcomputers.in","Memory (Ram)","https://mdcomputers.in/memory","3","https://mdcomputers.in/memory?page=3","G.Skill F4-2666C19S-8GRS Laptop Ram Ripjaws Series 8GB (8GBx1) DDR4 2666MHz","₹3,250","G.Skill F4-2666C19S-8GRS Laptop Ram Ripjaws Series 8GB (8GBx1) DDR4 2666MHz","https://mdcomputers.in/gskill-ripjaws-8gb-ddr4-2666mhz-f4-2666c19s-8grs.html","null"
"1597508874-1857","https://mdcomputers.in","Memory (Ram)","https://mdcomputers.in/memory","","","ADATA AX4U3200732G16A-ST50 Desktop Ram XPG SPECTRIX D50 Series 32GB (32GBx1) DDR4 3200MHz RGB","₹14,500","ADATA AX4U3200732G16A-ST50 Desktop Ram XPG SPECTRIX D50 Series 32GB (32GBx1) DDR4 3200MHz RGB","https://mdcomputers.in/adata-xpg-spectrix-d50-32gb-ddr4-3200mhz-ax4u3200732g16a-st50.html","null"
"1597508824-1713","https://mdcomputers.in","Storage","https://mdcomputers.in/storage","","","Adata XPG Gammix S5 512GB 3D NAND M.2 NVMe Internal SSD (AGAMMIXS5-512GT-C)","₹7,100","Adata XPG Gammix S5 512GB 3D NAND M.2 NVMe Internal SSD (AGAMMIXS5-512GT-C)","https://mdcomputers.in/adata-xpg-gammix-s5-512gb-m-2-agammixs5-512gt-c.html","null"
"1597508882-1867","https://mdcomputers.in","Memory (Ram)","https://mdcomputers.in/memory","5","https://mdcomputers.in/memory?page=5","Silicon Power SP008GBLFU266B02 Desktop Ram 8GB (8GBX1) DDR4 2666MHz","₹2,800","Silicon Power SP008GBLFU266B02 Desktop Ram 8GB (8GBX1) DDR4 2666MHz","https://mdcomputers.in/silicon-power-8gb-ddr4-2666mhz-sp008gblfu266b02.html","null"
"1597508772-1639","https://mdcomputers.in","Graphic Cards","https://mdcomputers.in/graphics-card","4","https://mdcomputers.in/graphics-card?page=4","ZOTAC GAMING GeForce RTX 2070 SUPER MINI 8GB GDDR6 256-bit 14Gbps Gaming Graphics Card, IceStorm 2.0, Super Compact, ZT-T20710E-10M","₹43,935","ZOTAC GAMING GeForce RTX 2070 SUPER MINI 8GB GDDR6 256-bit 14Gbps Gaming Graphics Card, IceStorm 2.0, Super Compact, ZT-T20710E-10M","https://mdcomputers.in/zotac-geforce-rtx-2070-super-mini-zt-t20710e-10m.html","null"
"1597509028-4071","https://mdcomputers.in","Corsair Hydro X","https://mdcomputers.in/corsair_hydro_x.html","","","CORSAIR Hydro X Series XF Fill Port Adapter (Black)","₹1,219","CORSAIR Hydro X Series XF Fill Port Adapter (Black)","https://mdcomputers.in/corsair-xf-fill-port-black-cx-9055018-ww.html","null"
"1597509040-4124","https://mdcomputers.in","Corsair Hydro X","https://mdcomputers.in/corsair_hydro_x.html","2","https://mdcomputers.in/corsair-hydro-x.html?page=2","CORSAIR Hydro X Series XF Hardline 90° 14mm OD Fittings Twin Pack (Gold)","₹2,326","CORSAIR Hydro X Series XF Hardline 90° 14mm OD Fittings Twin Pack (Gold)","https://mdcomputers.in/corsair-xf-hl-90-14mm-gold-cx-9052016-ww.html","null"
"1597508764-1604","https://mdcomputers.in","Graphic Cards","https://mdcomputers.in/graphics-card","","","Asus GT 710 2GB DDR5 64-bit Gaming Graphics Card","₹3,645","Asus GT 710 2GB DDR5 64-bit Gaming Graphics Card","https://mdcomputers.in/asus-gt-710-2gb-ddr5-90yv0al3-m0ia00.html","null"
"1597508913-1974","https://mdcomputers.in","Motherboard","https://mdcomputers.in/motherboards","","","ASUS EX-B365M-V Motherboard (Intel Socket 1151/9th and 8th Generation Core Series CPU/Max 32GB DDR4 2666MHz Memory)","₹7,000","ASUS EX-B365M-V Motherboard (Intel Socket 1151/9th and 8th Generation Core Series CPU/Max 32GB DDR4 2666MHz Memory)","https://mdcomputers.in/asus-ex-b365m-v.html","null"
"1597508858-1798","https://mdcomputers.in","Storage","https://mdcomputers.in/storage","3","https://mdcomputers.in/storage?page=3","Kingston A2000 1000GB 3D NAND M.2 NVMe Internal SSD (SA2000M8-1000G)","₹11,500","Kingston A2000 1000GB 3D NAND M.2 NVMe Internal SSD (SA2000M8-1000G)","https://mdcomputers.in/kingston-a2000-1000gb-m.2-sa2000m8-1000g.html","Out Of Stock"
"1597508954-2036","https://mdcomputers.in","Motherboard","https://mdcomputers.in/motherboards","3","https://mdcomputers.in/motherboards?page=3","GIGABYTE B550 AORUS PRO Motherboard (AMD Socket AM4/Ryzen 3rd Gen Series CPU/Max 128GB DDR4 5200MHz Memory)","₹16,400","GIGABYTE B550 AORUS PRO Motherboard (AMD Socket AM4/Ryzen 3rd Gen Series CPU/Max 128GB DDR4 5200MHz Memory)","https://mdcomputers.in/gigabyte-atx-motherboard-b550-aorus-pro.html","null"
"1597508897-1918","https://mdcomputers.in","Memory (Ram)","https://mdcomputers.in/memory","3","https://mdcomputers.in/memory?page=3","G.Skill F4-2666C19S-16GIS Desktop Ram Aegis Series 16GB (16GBx1) DDR4 2666MHz Black","₹5,500","G.Skill F4-2666C19S-16GIS Desktop Ram Aegis Series 16GB (16GBx1) DDR4 2666MHz Black","https://mdcomputers.in/g-skill-aegis-16gb-ddr4-2666mhz-f4-2666c19s-16gis.html","null"
"1597508713-1521","https://mdcomputers.in","Cabinet (Case)","https://mdcomputers.in/cabinet","2","https://mdcomputers.in/cabinet?page=2","Corsair 275R Airflow (ATX) Mid Tower Cabinet - With Tempered Glass Side Panel (White)","₹7,100","Corsair 275R Airflow (ATX) Mid Tower Cabinet - With Tempered Glass Side Panel (White)","https://mdcomputers.in/corsair-mid-tower-275r-airflow-tempered-glass-white-cc-9011182-ww.html","null"
"1597508645-1349","https://mdcomputers.in","Monitors","https://mdcomputers.in/monitors","2","https://mdcomputers.in/monitors?page=2","BenQ Zowie XL2731 - 27 Inch e-Sports Gaming Monitor (1ms Response Time, 144Hz Refresh Rate, FHD TN Panel, DVI, HDMI, DisplayPort)","₹28,790","BenQ Zowie XL2731 - 27 Inch e-Sports Gaming Monitor (1ms Response Time, 144Hz Refresh Rate, FHD TN Panel, DVI, HDMI, DisplayPort)","https://mdcomputers.in/zowie-benq-27-inch-gaming-xl2731.html","null"
"1597508645-1356","https://mdcomputers.in","Monitors","https://mdcomputers.in/monitors","2","https://mdcomputers.in/monitors?page=2","Dell SE2719H - 27 Inch Monitor (5ms Response Time, Frameless, FHD IPS Panel, HDMI, VGA)","₹18,676","Dell SE2719H - 27 Inch Monitor (5ms Response Time, Frameless, FHD IPS Panel, HDMI, VGA)","https://mdcomputers.in/dell-27-inch-se2719h.html","null"
"1597508874-1846","https://mdcomputers.in","Memory (Ram)","https://mdcomputers.in/memory","","","ADATA AX4U3000716G16A-SR30 Desktop Ram XPG Gammix D30 Series 16GB (16GBx1) DDR4 3000MHz Red","₹5,900","ADATA AX4U3000716G16A-SR30 Desktop Ram XPG Gammix D30 Series 16GB (16GBx1) DDR4 3000MHz Red","https://mdcomputers.in/adata-desktop-ram-xpg-gammix-d30-16gb-ddr4-3000mhz-ax4u3000716g16a-sr30.html","null"
"1597508834-1728","https://mdcomputers.in","Storage","https://mdcomputers.in/storage","6","https://mdcomputers.in/storage?page=6","Western Digital Green 240GB M.2 Internal SSD (WDS240G2G0B)","₹3,350","Western Digital Green 240GB M.2 Internal SSD (WDS240G2G0B)","https://mdcomputers.in/western-digital-green-240gb-m-2-wds240g2g0b.html","null"
"1597508843-1754","https://mdcomputers.in","Storage","https://mdcomputers.in/storage","5","https://mdcomputers.in/storage?page=5","TeamGroup GX2 1TB Internal SSD (T253X2001T0C101)","₹9,875","TeamGroup GX2 1TB Internal SSD (T253X2001T0C101)","https://mdcomputers.in/teamgroup-gx2-1tb-t253x2001t0c101.html","null"
"1597508720-1530","https://mdcomputers.in","Power Supply","https://mdcomputers.in/smps","","","Aerocool VX Plus 450 SMPS 450 Watt PSU","₹2,367","Aerocool VX Plus 450 SMPS 450 Watt PSU","https://mdcomputers.in/aerocool-vx-plus-450.html","null"
"1597508824-1715","https://mdcomputers.in","Storage","https://mdcomputers.in/storage","","","Adata XPG Spectrix S40G RGB 512GB 3D NAND M.2 NVMe Internal SSD (AS40G-512GT-C)","₹8,500","Adata XPG Spectrix S40G RGB 512GB 3D NAND M.2 NVMe Internal SSD (AS40G-512GT-C)","https://mdcomputers.in/adata-xpg-spectrix-s40g-rgb-512gb-m-2-as40g-512gt-c.html","null"
"1597508786-1649","https://mdcomputers.in","Graphic Cards","https://mdcomputers.in/graphics-card","3","https://mdcomputers.in/graphics-card?page=3","Msi GeForce GTX 1660 Super Ventus XS OC 6GB GDDR6 192-bit Gaming Graphics Card","₹21,800","Msi GeForce GTX 1660 Super Ventus XS OC 6GB GDDR6 192-bit Gaming Graphics Card","https://mdcomputers.in/msi-gtx-1660-super-ventus-xs-oc.html","null"
"1597508882-1872","https://mdcomputers.in","Memory (Ram)","https://mdcomputers.in/memory","5","https://mdcomputers.in/memory?page=5","Thermaltake R009D408GX2-4600C19A Desktop Ram TOUGHRAM RGB Series 16GB (8GBx2) DDR4 4600MHz (Black)","₹17,100","Thermaltake R009D408GX2-4600C19A Desktop Ram TOUGHRAM RGB Series 16GB (8GBx2) DDR4 4600MHz (Black)","https://mdcomputers.in/thermaltake-toughram-rgb-16gb-ddr4-4600mhz-black-r009d408gx2-4600c19a.html","null"
"1597508623-1248","https://mdcomputers.in","Monitors","https://mdcomputers.in/monitors","","","Acer GN246HL - 24 Inch 3D Gaming Monitor (1ms Response Time, 144Hz Refresh Rate, FHD TN Panel, DVI, HDMI, VGA)","₹16,597","Acer GN246HL - 24 Inch 3D Gaming Monitor (1ms Response Time, 144Hz Refresh Rate, FHD TN Panel, DVI, HDMI, VGA)","https://mdcomputers.in/acer-24-inch-3d-gaming-gn246hl.html","Out Of Stock"
"1597508690-1472","https://mdcomputers.in","Cabinet (Case)","https://mdcomputers.in/cabinet","4","https://mdcomputers.in/cabinet?page=4","Thermaltake Commander C34 TG ARGB (ATX) Mid Tower Cabinet With Tempered Glass Side Panel And RGB Controller (Black)","₹7,473","Thermaltake Commander C34 TG ARGB (ATX) Mid Tower Cabinet With Tempered Glass Side Panel And RGB Controller (Black)","https://mdcomputers.in/thermaltake-commander-c34-tg-argb-ca-1n5-00m1wn-00.html","null"
"1597508720-1545","https://mdcomputers.in","Power Supply","https://mdcomputers.in/smps","","","Circle CG Raw Power Extreme 1000W SMPS 1000 Watt 80 Plus Gold Certification Fully Modular PSU","₹13,900","Circle CG Raw Power Extreme 1000W SMPS 1000 Watt 80 Plus Gold Certification Fully Modular PSU","https://mdcomputers.in/circle-1000-watt-80-plus-cg-raw-power-extreme-1000w-gold.html","null"
"1597508897-1929","https://mdcomputers.in","Memory (Ram)","https://mdcomputers.in/memory","3","https://mdcomputers.in/memory?page=3","G.Skill F4-3200C16D-16GTZR Desktop Ram Trident Z RGB Series 16GB (8GBx2) DDR4 3200MHz","₹10,750","G.Skill F4-3200C16D-16GTZR Desktop Ram Trident Z RGB Series 16GB (8GBx2) DDR4 3200MHz","https://mdcomputers.in/g-skill-trident-z-rgb-16gb-ddr4-3200mhz-f4-3200c16d-16gtzr.html","null"
"1597508913-1968","https://mdcomputers.in","Motherboard","https://mdcomputers.in/motherboards","","","ASRock B550 Phantom Gaming 4 Motherboard (AMD Socket AM4/3rd Gen Ryzen Series CPU/Max 128GB DDR4 4733MHz Memory)","₹13,852","ASRock B550 Phantom Gaming 4 Motherboard (AMD Socket AM4/3rd Gen Ryzen Series CPU/Max 128GB DDR4 4733MHz Memory)","https://mdcomputers.in/asrock-b550-phantom-gaming-4.html","Out Of Stock"
"1597508772-1626","https://mdcomputers.in","Graphic Cards","https://mdcomputers.in/graphics-card","4","https://mdcomputers.in/graphics-card?page=4","SAPPHIRE Radeon RX 580 PULSE OC Lite 8GB GDDR5 256-bit Gaming Graphics Card (11265-67-20G)","₹17,100","SAPPHIRE Radeon RX 580 PULSE OC Lite 8GB GDDR5 256-bit Gaming Graphics Card (11265-67-20G)","https://mdcomputers.in/sapphire-rx-580-pulse-oc-lite-8gb-gddr5-11265-67-20g.html","null"
"1597508805-1693","https://mdcomputers.in","Graphic Cards","https://mdcomputers.in/graphics-card","2","https://mdcomputers.in/graphics-card?page=2","Inno3d GeForce RTX 2060 Twin X2 6GB GDDR6 192-bit Gaming Graphics Card","₹28,000","Inno3d GeForce RTX 2060 Twin X2 6GB GDDR6 192-bit Gaming Graphics Card","https://mdcomputers.in/inno3d-geforce-rtx-2060-twin-x2-6gb-gddr6-n20602-06d6-1710va15l.html","null"
"1597508913-1980","https://mdcomputers.in","Motherboard","https://mdcomputers.in/motherboards","","","ASUS PRIME B460-PLUS Motherboard (Intel Socket 1200/10th Generation Core Series CPU/Max 128GB DDR4 2933MHz Memory)","₹11,350","ASUS PRIME B460-PLUS Motherboard (Intel Socket 1200/10th Generation Core Series CPU/Max 128GB DDR4 2933MHz Memory)","https://mdcomputers.in/asus-prime-b460-plus.html","null"
"1597508764-1607","https://mdcomputers.in","Graphic Cards","https://mdcomputers.in/graphics-card","","","Asus Radeon Tuf Gaming X3 RX 5600 XT Evo 6GB GDDR6 192-Bit Gaming Graphics Card","₹32,473","Asus Radeon Tuf Gaming X3 RX 5600 XT Evo 6GB GDDR6 192-Bit Gaming Graphics Card","https://mdcomputers.in/asus-tuf-3-rx5600xt-o6g-evo-gaming.html","null"
"1597508754-1588","https://mdcomputers.in","Power Supply","https://mdcomputers.in/smps","2","https://mdcomputers.in/smps?page=2","Corsair TX550M SMPS - 550 Watt 80 Plus Gold Certification Semi Modular PSU With Active PFC","₹7,950","Corsair TX550M SMPS - 550 Watt 80 Plus Gold Certification Semi Modular PSU With Active PFC","https://mdcomputers.in/corsair-tx550m-80-plus-gold-semi-modular-cp-9020133-uk.html","null"
"1597508897-1911","https://mdcomputers.in","Memory (Ram)","https://mdcomputers.in/memory","3","https://mdcomputers.in/memory?page=3","G.Skill F4-2400C15S-16GVR Desktop Ram Ripjaws V Series 16GB (16GBx1) DDR4 2400MHz Red","₹6,450","G.Skill F4-2400C15S-16GVR Desktop Ram Ripjaws V Series 16GB (16GBx1) DDR4 2400MHz Red","https://mdcomputers.in/g-skill-ripjaws-v-16gb-ddr4-2400mhz-f4-2400c15s-16gvr.html","null"
"1597508786-1658","https://mdcomputers.in","Graphic Cards","https://mdcomputers.in/graphics-card","3","https://mdcomputers.in/graphics-card?page=3","Nvidia Quadro P2200 5GB GDDR5X Pascal Series Workstation Graphics Card","₹36,835","Nvidia Quadro P2200 5GB GDDR5X Pascal Series Workstation Graphics Card","https://mdcomputers.in/nvidia-quadro-p2200-5gb-gddr5x-900-5g420-2500-000.html","null"
"1597509012-4024","https://mdcomputers.in","Processor","https://mdcomputers.in/processor","","","AMD RYZEN 5 3600  (6 CORES 12 THREADS WITH MAX BOOST CLOCK OF 4.2GHz,BASE CLOCK OF 3.6GHz AND 35MB GAME CACHE)","₹17,471","AMD RYZEN 5 3600  (6 CORES 12 THREADS WITH MAX BOOST CLOCK OF 4.2GHz,BASE CLOCK OF 3.6GHz AND 35MB GAME CACHE)","https://mdcomputers.in/amd-hexa-core-ryzen-5-3600.html","null"
"1597509040-4117","https://mdcomputers.in","Corsair Hydro X","https://mdcomputers.in/corsair_hydro_x.html","2","https://mdcomputers.in/corsair-hydro-x.html?page=2","CORSAIR Hydro X Series XF Hardline 14mm OD Fittings Four Pack (White)","₹2,326","CORSAIR Hydro X Series XF Hardline 14mm OD Fittings Four Pack (White)","https://mdcomputers.in/corsair-hydro-x-xf-hardline-14mm-white-cx-9052013-ww.html","null"
"1597508754-1584","https://mdcomputers.in","Power Supply","https://mdcomputers.in/smps","2","https://mdcomputers.in/smps?page=2","Corsair RM1000X SMPS - 1000 Watt 80 Plus Gold Certification Fully Modular PSU With Active PFC","₹15,608","Corsair RM1000X SMPS - 1000 Watt 80 Plus Gold Certification Fully Modular PSU With Active PFC","https://mdcomputers.in/corsair-rm1000x-80-plus-gold-fully-modular-cp-9020094-uk.html","null"
"1597508882-1866","https://mdcomputers.in","Memory (Ram)","https://mdcomputers.in/memory","5","https://mdcomputers.in/memory?page=5","Silicon Power SP004GLLTU160N02 Desktop Ram 4GB (4GBX1) DDR3L 1600MHz","₹1,700","Silicon Power SP004GLLTU160N02 Desktop Ram 4GB (4GBX1) DDR3L 1600MHz","https://mdcomputers.in/silicon-power-4gb-ddr3l-1600mhz-sp004glltu160n02.html","null"
"1597508690-1470","https://mdcomputers.in","Cabinet (Case)","https://mdcomputers.in/cabinet","4","https://mdcomputers.in/cabinet?page=4","Thermaltake Commander C32 TG ARGB (ATX) Mid Tower Cabinet With Tempered Glass Side Panel And RGB Controller (Black)","₹7,372","Thermaltake Commander C32 TG ARGB (ATX) Mid Tower Cabinet With Tempered Glass Side Panel And RGB Controller (Black)","https://mdcomputers.in/thermaltake-commander-c32-tg-argb-ca-1n3-00m1wn-00.html","null"
"1597508843-1744","https://mdcomputers.in","Storage","https://mdcomputers.in/storage","5","https://mdcomputers.in/storage?page=5","Seagate SkyHawk 1TB Surveillance Desktop Internal Hard Drive (ST1000VX005)","₹3,500","Seagate SkyHawk 1TB Surveillance Desktop Internal Hard Drive (ST1000VX005)","https://mdcomputers.in/seagate-skyhawk-1tb-st1000vx005.html","null"
"1597508993-2136","https://mdcomputers.in","Cooling System","https://mdcomputers.in/cooling-system","3","https://mdcomputers.in/cooling-system?page=3","Nzxt Kraken X52 RGB All In One 240mm Cpu Liquid Cooler And CAM Compatible (RL-KRX52-02)","₹10,500","Nzxt Kraken X52 RGB All In One 240mm Cpu Liquid Cooler And CAM Compatible (RL-KRX52-02)","https://mdcomputers.in/nzxt-kraken-x52-rgb-rl-krx52-02.html","null"
"1597508858-1794","https://mdcomputers.in","Storage","https://mdcomputers.in/storage","3","https://mdcomputers.in/storage?page=3","Hikvision C100 240GB 3D NAND Internal SSD (HS-SSD-C100/240G)","₹3,124","Hikvision C100 240GB 3D NAND Internal SSD (HS-SSD-C100/240G)","https://mdcomputers.in/hikvision-hs-ssd-c100-240g.html","null"
"1597509040-4128","https://mdcomputers.in","Corsair Hydro X","https://mdcomputers.in/corsair_hydro_x.html","2","https://mdcomputers.in/corsair-hydro-x.html?page=2","CORSAIR Hydro X Series XG7 RGB 20-Series GPU Water Block (2080 FE Rev.B)","₹13,207","CORSAIR Hydro X Series XG7 RGB 20-Series GPU Water Block (2080 FE Rev.B)","https://mdcomputers.in/corsair-hydro-x-gpu-water-block-xg7-rgb-2080-fe-rev.b-cx-9020009-ww.html","null"
"1597508982-2112","https://mdcomputers.in","Cooling System","https://mdcomputers.in/cooling-system","4","https://mdcomputers.in/cooling-system?page=4","Thermaltake Pacific M360 D5 Hard Tube 360mm CPU Liquid Cooling Kit","₹31,954","Thermaltake Pacific M360 D5 Hard Tube 360mm CPU Liquid Cooling Kit","https://mdcomputers.in/thermaltake-pacific-m360-d5-hard-tube-cl-w217-cu00sw-a.html","null"
"1597508965-2064","https://mdcomputers.in","Motherboard","https://mdcomputers.in/motherboards","2","https://mdcomputers.in/motherboards?page=2","ASUS ROG MAXIMUS XI HERO Motherboard (Intel Socket 1151/9th And 8th Generation Core Series CPU/Max 64GB DDR4-4400MHz Memory)","₹28,000","ASUS ROG MAXIMUS XI HERO Motherboard (Intel Socket 1151/9th And 8th Generation Core Series CPU/Max 64GB DDR4-4400MHz Memory)","https://mdcomputers.in/asus-rog-maximus-xi-hero.html","null"
"1597508954-2038","https://mdcomputers.in","Motherboard","https://mdcomputers.in/motherboards","3","https://mdcomputers.in/motherboards?page=3","GIGABYTE B550I AORUS PRO AX (Wi-Fi) Motherboard (AMD Socket AM4/Ryzen 3rd Gen Series CPU/Max 64GB DDR4 4866MHz Memory)","₹17,200","GIGABYTE B550I AORUS PRO AX (Wi-Fi) Motherboard (AMD Socket AM4/Ryzen 3rd Gen Series CPU/Max 64GB DDR4 4866MHz Memory)","https://mdcomputers.in/gigabyte-m-itx-wi-fi-motherboard-b550i-aorus-pro-ax.html","null"
"1597509040-4127","https://mdcomputers.in","Corsair Hydro X","https://mdcomputers.in/corsair_hydro_x.html","2","https://mdcomputers.in/corsair-hydro-x.html?page=2","CORSAIR Hydro X Series XF Rotary Y-Splitter (Chrome)","₹1,565","CORSAIR Hydro X Series XF Rotary Y-Splitter (Chrome)","https://mdcomputers.in/corsair-xf-rotary-y-splitter-chrome-cx-9055015-ww.html","null"
