web-scraper-order,web-scraper-start-url,name,price,link,link-href
"1597442363-683","https://www.bitfang.com/computer-hardware","ADATA AHD710P-5TU31-CBK 5 TB USB ...","₹ 11,061","","https://www.bitfang.com/adata-ahd710p-5tu31-cbk-5-tb-usb-30-32-mb-25-in-external-hard-drive"
"1597442363-1276","https://www.bitfang.com/computer-hardware","Lapcare  Adapter for HP  18.5v 3....","₹ 684","","https://www.bitfang.com/lapcare-adapter-for-hp185v-35a-65w-smart-adapter-black"
"1597442363-900","https://www.bitfang.com/computer-hardware","Brothers HL-L2365DW Monochrome Mo...","₹ 11,823","","https://www.bitfang.com/brothers-hl-l2365dw-monochrome-mono-laser-duplex"
"1597442363-775","https://www.bitfang.com/computer-hardware","Asus EX-B360M-V5 LGA 1151 Intel B...","₹ 7,529","","https://www.bitfang.com/asus-ex-b360m-v5-desktop-motherboard"
"1597442363-603","https://www.bitfang.com/computer-hardware","Lapcare LOMOLP6366 Wired USB 3 Bu...","₹ 182","","https://www.bitfang.com/lapcare-lomolp6366-3-buttons-wired-usb-2"
"1597442363-1106","https://www.bitfang.com/computer-hardware","Adata AX4U3000316G16-SR40 16GB 30...","₹ 5,424","","https://www.bitfang.com/adata-ax4u3000316g16-sr40-16-gb-3000-mhz-ddr4-desktop-ram"
"1597442363-469","https://www.bitfang.com/computer-hardware","MSI Z370M GAMING PRO AC LGA 1151 ...","₹ 15,986","","https://www.bitfang.com/msi-z370m-gaming-pro-ac-lga-1151-intel-z370-ddr4-matx-intel-desktop-motherboard"
"1597442363-1192","https://www.bitfang.com/computer-hardware","Honeywell YJ3300 USB Handheld Bar...","₹ 2,723","","https://www.bitfang.com/honeywell-yj3300-usb-handheld-barcode-scanner"
"1597442363-90","https://www.bitfang.com/computer-hardware","AMD Ryzen 7 RYZEN-7-3800X 8-Core ...","₹ 32,279","","https://www.bitfang.com/amd-ryzen-7-ryzen-7-3800x-8-core-39-ghz-am4-desktop-processor"
"1597442363-9","https://www.bitfang.com/computer-hardware","Amkette XCITEPROMOUUSB Keyboard a...","₹ 511","","https://www.bitfang.com/amkette-xcitepromouusb-keyboard-and-mouse-black"
"1597442363-631","https://www.bitfang.com/computer-hardware","Adata AX4U266638G16-SRZ 8GB 2666M...","₹ 2,796","","https://www.bitfang.com/adata-ax4u266638g16-srz-ddr4-8-gb-2666mhz"
"1597442363-651","https://www.bitfang.com/computer-hardware","Adata AX4U2666316G16-SR40 16GB 26...","₹ 5,896","","https://www.bitfang.com/adata-ax4u2666316g16-sr40-ddr4-16-gb-2666mhz"
