web-scraper-order,web-scraper-start-url,name,price,instock,link,link-href
"1597509001-2255","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","ANT ESPORTS H500 STEREO GAMING HEADSET FOR PC – BLACK RED","₹1,450","Out Of Stock","null",""
"1597509001-2337","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","ANTEC PRIZM 140 ARGB SINGLE PACK CABINET FAN","₹1,110","Out Of Stock","","https://www.vedantcomputers.com/products?product_id=2861"
"1597509001-3123","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","GIGABYTE B550I AORUS PRO AX MOTHERBOARD","₹18,300","null","","https://www.vedantcomputers.com/products/gigabyte-b550i-aorus-pro-ax-motherboard"
"1597509001-3150","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","GIGABYTE GEFORCE GTX 1660 OC 6GB GDDR5","₹18,260","null","","https://www.vedantcomputers.com/products/gigabyte-geforce-gtx-1660-oc-6gb-gddr5"
"1597509001-2811","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","CORSAIR LL120 RGB 120MM DUAL LIGHT LOOP RGB LED PWM SINGLE PACK CABINET FAN","₹2,250","Out Of Stock","","https://www.vedantcomputers.com/products?product_id=2552"
"1597509001-2683","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","COOLER MASTER SLEEVED UNIVERSAL PSU EXTENSION CABLE KIT WHITE/BLACK","₹2,570","Out Of Stock","","https://www.vedantcomputers.com/products?product_id=2570"
"1597509001-2805","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","CORSAIR K70 RGB RAPIDFIRE MECHANICAL CHERRY MX SPEED RGB GAMING KEYBOARD","₹14,820 ₹11,600","Out Of Stock","","https://www.vedantcomputers.com/products/corsair-k70-rgb-rapidfire-mechanical-cherry-mx-speed-rgb"
"1597509001-2290","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","ANTEC C40 CPU COOLER","₹2,050","null","","https://www.vedantcomputers.com/products?product_id=2993"
"1597509001-3933","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","ZOTAC GAMING GEFORCE RTX 2080 SUPER AMP 8GB GDDR6","₹69,800","Out Of Stock","","https://www.vedantcomputers.com/products?product_id=2673"
"1597509001-2519","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","ASUS TUF X470-PLUS GAMING MOTHERBOARD","₹13,800","Out Of Stock","","https://www.vedantcomputers.com/products?product_id=1993"
"1597509001-3436","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","LOGITECH WIRELESS M331 SILENT PLUS BLUE MOUSE","₹1,190","Out Of Stock","","https://www.vedantcomputers.com/products/logitech-wireless-m331-silent-plus-blue"
"1597509001-2705","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","CORSAIR AIR SERIES AF140 LED SINGLE PACK CABINET FAN - BLUE","₹1,450","null","","https://www.vedantcomputers.com/products/corsair-af-series-af140-led-single-pack-cabinet-fan-blue"
"1597509001-2380","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","ASUS DUAL GEFORCE RTX 2060 SUPER EVO OC 8GB GDDR6","₹44,500 ₹41,100","null","","https://www.vedantcomputers.com/products/asus-dual-geforce-rtx-2060-super-evo-oc-8gb-gddr6"
"1597509001-2161","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","ADATA XPG GAMMIX D30 16GB (8GBx2) DDR4 3600MHZ RAM","₹7,100","Out Of Stock","","https://www.vedantcomputers.com/products?product_id=3083"
"1597509001-2940","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","DEEPCOOL GAMERSTROM G15 THERMAL PASTE","₹549","null","","https://www.vedantcomputers.com/products?product_id=3165"
"1597509001-3709","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","RAZER TIAMAT 7.1 V2 GAMING HEADSET","₹5,499","Out Of Stock","","https://www.vedantcomputers.com/products?product_id=3189"
"1597509001-2538","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","BENQ GW2480 23.8 INCH 1080P EYE-CARE TECHNOLOGY STYLISH MONITOR","₹9,600","null","","https://www.vedantcomputers.com/products/benq-gw-2480-23-8-inch-1080p-eye-care-technology-stylish-monitor"
"1597509001-3187","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","GIGABYTE TRX40 AORUS MASTER MOTHERBOARD","₹47,790","Out Of Stock","","https://www.vedantcomputers.com/products?product_id=2982"
"1597509001-2282","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","ANT-ESPORTS WB-8051 RED GAMING CHAIR","₹6,500","Out Of Stock","null",""
"1597509001-3201","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","GIGABYTE X570 I AORUS PRO WIFI MOTHERBOARD","₹21,999","Out Of Stock","","https://www.vedantcomputers.com/products?product_id=3228"
"1597509001-2970","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","DEEPCOOL RGB 200 EX LED STRIP","₹1,450","null","","https://www.vedantcomputers.com/products?product_id=3378"
"1597509001-2971","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","DEEPCOOL RGB 200 PRO LED STRIP","₹1,325","null","","https://www.vedantcomputers.com/products?product_id=3169"
"1597509001-2731","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","CORSAIR CX SERIES CX850M — 850 WATT 80 PLUS BRONZE CERTIFIED MODULAR ATX PSU (2015 EDITION)","₹9,320","Out Of Stock","","https://www.vedantcomputers.com/products?product_id=1128"
"1597509001-3258","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","INNO3D GEFORCE GT1030 2GB GDDR5","₹5,800","Out Of Stock","","https://www.vedantcomputers.com/products/inno3d-geforce-gt-1030-2gb-gddr5"
"1597509001-3484","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","MSI GEFORCE GTX 1660 GAMING 6G GDDR5","₹18,350","Out Of Stock","","https://www.vedantcomputers.com/products?product_id=3190"
"1597509001-3429","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","LOGITECH WIRELESS M185 BLUE MOUSE","₹840","Out Of Stock","","https://www.vedantcomputers.com/products/logitech-wireless-m185-blue"
"1597509001-3872","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","WD BLUE 6TB HDD (WD60EZRZ)","₹15,650","Out Of Stock","","https://www.vedantcomputers.com/products/wd-blue-6tb-wd60ezrz"
"1597509001-2262","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","ANT ESPORTS MK3000 MULTICOLOUR LED BACKLITE WIRED MECHANICAL KEYBOARD WITH BLUE SWITCHES","₹2,450","Out Of Stock","","https://www.vedantcomputers.com/products/ant-esports-mk3000-multicolour-led-backlite-wired-mechanical-keyboard-with-blue-switches"
"1597509001-3257","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","HYPERX PREDATOR RGB 8GB 2933 MHZ DDR4 RAM","₹4,475","Out Of Stock","","https://www.vedantcomputers.com/products?product_id=3213"
"1597509001-2163","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","ADATA XPG GAMMIX D30 8GB (8GBX1) DDR4 3600MHZ RAM","₹4,350","Out Of Stock","null",""
"1597509001-3305","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","INTEL CORE I5 9600K 9TH GENERATION PROCESSOR (9M CACHE, UP TO 4.60 GHZ)","₹19,150","null","","https://www.vedantcomputers.com/products/intel-core-i5-9600k-9th-generation-9m-cache-up-to-4-60-ghz"
"1597509001-2639","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","COOLER MASTER MASTERFAN SF120R RGB CABINET FAN","₹1,199","null","","https://www.vedantcomputers.com/products?product_id=3284"
"1597509001-3057","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","GALAX GEFORCE GTX 1660 TI (1-CLICK OC) 6GB GDDR6","₹21,500","Out Of Stock","","https://www.vedantcomputers.com/products/galax-geforce-gtx-1660-ti-1-click-oc-6gb-gddr6"
"1597509001-3712","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","RISER EXTENDER CABLE VER 006C PCI-E 1X TO 16X POWERED 60CM USB 3.0 CABLE / 15PIN SATA TO 6PIN POWER SUPPLY","₹1,000","Out Of Stock","","https://www.vedantcomputers.com/products/riser-extender-cable-ver-006c-pci-e-1x-to-16x-powered-60-cm-usb-3-0-cable-15-pin-sata-to-6pin-power-supply"
"1597509001-2345","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","ANTEC VP650P PLUS 650 WATT POWER SUPPLY","₹4,150","null","","https://www.vedantcomputers.com/products/antec-vp650p-plus-650-watt-power-supply"
"1597509001-2988","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","ELGATO GAME CAPTURE HD60 S","₹17,100","Out Of Stock","","https://www.vedantcomputers.com/products/legato-game-capture-hd60s"
"1597509001-3284","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","INNO3D GEFORCE RTX 2080 SUPER TWIN X2 OC 8GB GDDR6","₹61,500","Out Of Stock","null",""
"1597509001-2474","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","ASUS ROG STRIX 7.1 GAMING HEADSET","₹20,000","Out Of Stock","","https://www.vedantcomputers.com/products/asus-rog-strix-7-1-headset"
"1597509001-2950","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","DEEPCOOL GAMMAXX L240 V2 RGB CPU COOLER","₹5,999","Out Of Stock","","https://www.vedantcomputers.com/products?product_id=3151"
"1597509001-3250","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","HYPERX CLOUD STINGER CORE BLACK GAMING HEADSET","₹4,200 ₹3,500","Out Of Stock","","https://www.vedantcomputers.com/products/hyperx-cloud-stinger-core-black-gaming-headset"
"1597509001-2844","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","CORSAIR SABRE LASER RGB GAMING MOUSE","₹4,300","Out Of Stock","","https://www.vedantcomputers.com/products/corsair-sabre-laser-rgb"
"1597509001-3765","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","SAMSUNG SSD 970 EVO PLUS NVME M.2 500 GB","₹9,890","null","","https://www.vedantcomputers.com/products/samsung-970-evo-plus-nvme-m-2-500-gb"
"1597509001-2926","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","DEEPCOOL EC300-PCI-E RED CABLE","₹899","null","","https://www.vedantcomputers.com/products?product_id=3438"
"1597509001-2665","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","COOLER MASTER MWE 450 WHITE 230V V2 - 450 WATT 80 PLUS CERTIFIED PSU","₹2,999","null","","https://www.vedantcomputers.com/products?product_id=2975"
"1597509001-2576","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","COMBO LOGITECH WIRELESS KEYBOARD + WIRELESS MOUSE MK260R","₹1,500","Out Of Stock","","https://www.vedantcomputers.com/products?product_id=961"
"1597509001-2941","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","DEEPCOOL GAMERSTROM G40 THERMAL PASTE","₹600","null","","https://www.vedantcomputers.com/products?product_id=3163"
"1597509001-3633","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","NZXT H510 ALLIANCE CRFT LIMITED EDITION ATX CASE WITH TEMPERED GLASS","₹17,999","null","","https://www.vedantcomputers.com/products?product_id=3309"
"1597509001-3926","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","ZOTAC GAMING GEFORCE RTX 2070 SUPER AMP 8GB GDDR6","₹50,650","Out Of Stock","","https://www.vedantcomputers.com/products/zotac-geforce-rtx-2070-super-amp-8gb-gddr6"
"1597509001-2755","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","CORSAIR HARPOON RGB GAMING MOUSE (AP) GAMING MOUSE","₹1,750","null","","https://www.vedantcomputers.com/products/corsair-harpoon-rgb-gaming-mouse-ap"
"1597509001-2668","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","COOLER MASTER MWE 550 WATT WHITE 230V V2 80 PLUS EU CERTIFIED POWER SUPPLY","₹3,570","Out Of Stock","","https://www.vedantcomputers.com/products?product_id=3307"
"1597509001-3402","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","LOGITECH G502 PROTEUS CORE TUNABALE GAMING MOUSE","₹4,759","Out Of Stock","null",""
"1597509001-3866","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","WD BLUE 250GB PC SSD (WDS250G2B0B)","₹3,700","Out Of Stock","","https://www.vedantcomputers.com/products/wd-blue-250gb-wds-250g2b0b"
"1597509001-2681","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","COOLER MASTER SILENT 120 SI2 CABINET FAN","₹1,399","null","","https://www.vedantcomputers.com/products/cooler-master-silent-120-si2"
"1597509001-3438","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","LOGITECH WIRELESS MINI M187 BLACK MOUSE","₹900","Out Of Stock","","https://www.vedantcomputers.com/products/logitech-wireless-mini-m187-black"
"1597509001-2440","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","ASUS PRIME H310M-K MOTHERBOARD","₹4,610","Out Of Stock","","https://www.vedantcomputers.com/products/asus-prime-h-310m-k"
"1597509001-3034","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","G.SKILL 32GB (16GBX2) 3200MHZ DDR4 TRIDENT Z ROYAL RGB RAM","₹16,250","Out Of Stock","","https://www.vedantcomputers.com/products?product_id=3311"
"1597509001-2289","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","ANTEC BP450P 450W PSU","₹2,400","Out Of Stock","","https://www.vedantcomputers.com/products/antec-bp450p-450w-psu"
"1597509001-3470","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","MSI B460M MORTAR MOTHERBOARD","₹12,750","null","","https://www.vedantcomputers.com/products?product_id=3370"
"1597509001-3721","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","SAMSUNG 860 EVO SATA III 2.5 INCH 2TB SSD","₹27,300","Out Of Stock","","https://www.vedantcomputers.com/products?product_id=1768"
"1597509001-2777","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","CORSAIR HYDRO SERIES H115i RGB PLATINUM 280MM CPU COOLER","₹14,150","Out Of Stock","","https://www.vedantcomputers.com/products?product_id=2352"
"1597509001-2504","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","ASUS STRIX TACTIC PRO BLACK GAMING KEYBOARD","₹7,000","Out Of Stock","","https://www.vedantcomputers.com/products?product_id=1500"
"1597509001-3189","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","GIGABYTE X399 AORUS GAMING 7 MOTHERBOARD","₹30,500","Out Of Stock","","https://www.vedantcomputers.com/products/gigabyte-x-399-aorus-gaming-7"
"1597509001-2439","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","ASUS PRIME H310M-E R2.0 MOTHERBOARD","₹4,900","null","","https://www.vedantcomputers.com/products?product_id=3413"
"1597509001-2298","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","ANTEC EA650G EARTHWATTS GOLD PRO 650W 80 PLUS GOLD POWER SUPPLY","₹6,600","Out Of Stock","","https://www.vedantcomputers.com/products/antec-ea650g-pro-ec-atx-black"
"1597509001-2450","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","ASUS PRIME Z390-P MOTHERBOARD","₹15,380","Out Of Stock","","https://www.vedantcomputers.com/products/asus-prime-z390-p"
"1597509001-3855","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","WD 500GB M.2 2280 PC SSD - BLACK","₹9,700","Out Of Stock","","https://www.vedantcomputers.com/products/wd-500gb-m-2-2280-black"
"1597509001-2326","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","ANTEC NX800 WHITE NX SERIES MID-TOWER GAMING CABINET","₹8,599","null","","https://www.vedantcomputers.com/products?product_id=3449"
