web-scraper-order,web-scraper-start-url,page,page-href,name,price,stock,link,link-href
"1597510419-6605","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/16/?post_type=product&taxonomy=product_cat&s","HP 15 inch 15g-dr0006tx 8th Gen i5-8250U, 8GB RAM, 1TB HDD, 2 GB NVIDIA Geforce MX110 Natural Silver Laptop","₹69,999 ₹56,000","null","HP 15 inch 15g-dr0006tx 8th Gen i5-8250U, 8GB RAM, 1TB HDD, 2 GB NVIDIA Geforce MX110 Natural Silver Laptop","https://www.primeabgb.com/online-price-reviews-india/hp-15-inch-15g-dr0006tx-8th-gen-i5-8250u-8gb-ram-1tb-hdd-2-gb-nvidia-geforce-mx110-natural-silver-laptop/"
"1597509761-5425","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/56/?post_type=product&taxonomy=product_cat&s","Thermaltake Smart BX1 RGB 750W (230V) Power Supply PS-SPR-0750NHSABE-1","₹9,625 ₹7,151","null","Thermaltake Smart BX1 RGB 750W (230V) Power Supply PS-SPR-0750NHSABE-1","https://www.primeabgb.com/online-price-reviews-india/thermaltake-smart-bx1-rgb-750w-230v-power-supply-ps-spr-0750nhsabe-1/"
"1597509267-4503","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/86/?post_type=product&taxonomy=product_cat&s","SAPPHIRE RX VEGA 64 8GB HBM2 LIMITED EDITION GRAPHIC CARD 21275-01-20G","Call for Price","Sold Out","SAPPHIRE RX VEGA 64 8GB HBM2 LIMITED EDITION GRAPHIC CARD 21275-01-20G","https://www.primeabgb.com/online-price-reviews-india/sapphire-rx-vega-64-8gb-hbm2-limited-edition-graphic-card-21275-01-20g/"
"1597509558-5052","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/68/?post_type=product&taxonomy=product_cat&s","ADATA Ultimate SU650 480GB SSD ASU650SS-480GT-R","₹6,443 ₹5,154","null","ADATA Ultimate SU650 480GB SSD ASU650SS-480GT-R","https://www.primeabgb.com/online-price-reviews-india/adata-ultimate-su650-480gb-ssd-asu650ss-480gt-r/"
"1597509332-4639","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/82/?post_type=product&taxonomy=product_cat&s","Razer Cynosa Pro and Razer DeathAdder Bundle – RZ84-01470100-B3M1","₹6,299 ₹5,007","Sold Out","Razer Cynosa Pro and Razer DeathAdder Bundle – RZ84-01470100-B3M1","https://www.primeabgb.com/online-price-reviews-india/razer-cynosa-pro-razer-deathadder-bundle-rz84-01470100-b3m1/"
"1597509700-5301","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/60/?post_type=product&taxonomy=product_cat&s","ASUS ROG-STRIX-RTX2060-A6G-GAMING 6GB GDDR6 Graphic Card","₹44,375 ₹42,375","Sold Out","ASUS ROG-STRIX-RTX2060-A6G-GAMING 6GB GDDR6 Graphic Card","https://www.primeabgb.com/online-price-reviews-india/asus-rog-strix-rtx2060-a6g-gaming-6gb-gddr6-graphic-card/"
"1597509083-4191","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/97/?post_type=product&taxonomy=product_cat&s","Noctua NF-R8 PWM 4 pin Cooling Fan","₹888","Sold Out","Noctua NF-R8 PWM 4 pin Cooling Fan","https://www.primeabgb.com/online-price-reviews-india/noctua-nf-r8-pwm-4-pin-cooling-fan/"
"1597510610-6929","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/5/?post_type=product&taxonomy=product_cat&s","PCCOOLER GI-46U Low Profile CPU Cooler","₹3,500 ₹2,800","Sold Out","PCCOOLER GI-46U Low Profile CPU Cooler","https://www.primeabgb.com/online-price-reviews-india/pccooler-gi-46u-low-profile-cpu-cooler/"
"1597509033-4109","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/99/?post_type=product&taxonomy=product_cat&s","Corsair CX series CX600 600W Power Supply","₹6,024 ₹4,819","Sold Out","Corsair CX series CX600 600W Power Supply","https://www.primeabgb.com/online-price-reviews-india/corsair-cx-series-cx600-600w-power-supply-2/"
"1597509208-4382","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/90/?post_type=product&taxonomy=product_cat&s","OWC 480GB SSD for MacBook Air & Pro (Mid-2013 & Later)","₹33,643 ₹23,500","null","OWC 480GB SSD for MacBook Air & Pro (Mid-2013 & Later)","https://www.primeabgb.com/online-price-reviews-india/owc-480gb-ssd-macbook-air-pro-mid-2013-later/"
